question_id,question_level,context,question,possible_answers,correct_answer_num,question_type
B1.1.H1,B1,"W Serbskem muzeju w Chóśebuzu jo se wótwóriła nowa wustajeńca. Njejo to tenraz tradicionelna serbska wustajeńca, ale zajmna prezentacija wuměłskich fotografijow domacnych zwěrjetow, wósebnje ptaškow. Su to kšasne wobraze, ako jo něgajšny absolwent Dolnoserbskego gymnaziuma a lubowaŕ pśirody wótmólował. Na wótwórjenju pětk wjacor jo zasej było wjele luźi.",Stwórtk wjacor jo było wótwórjenje noweje wustajeńce.,"1 pšawje
2 wopak",2,listening_B1_1
B1.1.H2,B1,"Luźe pśecej južo njesćerpnje cakaju na nowy program Šule za dolnoserbsku rěc a kulturu. Šula wudawa jen kužde lěto w nalěśu a nazymje. Někotare kśě se wobźěliś na rěcnych kursach, druge na zajmnych pśednoskach, zasej druge kśě raźi sobu jěś na woblubowane ekskursije. A młoźina rada nawuknjo, kak se serbska drastwa pšawje wobleka.",Program Šule za dolnoserbsku rěc a kulturu wuchada jano w nazymje.,"1 pšawje
2 wopak",2,listening_B1_1
B1.1.H3,B1,"Luźe we Łužycy rad swój narodny źeń swěśe. Ale to njegótuju jano priwatnje. Kuždy źeń wózjawijo Serbske radijo na kóńcu swójogo wusćełanja mjenja narodninaŕkow a narodninarjow. Jubilaŕkam a jubilaram sćelu towaristwa, Domowinske kupki abo swójźbne wutšobne glukužycenja. Narske cakaju druge pśisłu- charje na mjenja burstakarjow, aby mógali jim teke gratulěrowaś. Wósebnje rědnje jo, gaž něchten ma kulowaty jubilej.",Serbske radijo gratulěrujo narodninarjam a narodninaŕkam.,"1 pšawje
2 wopak",1,listening_B1_1
B1.1.H4,B1,"W lěśojskich tyźenjach w Dolnej Łužycy kokota łapaju. Na Górach a w Smogorjowje młoźina woplěwa nałog zabijanja kokota, a w Nowej Niwje rejtuju wó kołac. Źowća woblekaju se swóju rědnu serbsku swěźeńsku drastwu. W někotarych jsach wita młoźina swójich gósći w serbskej rěcy. Raźi luźe zbliska a zdaloka woglěduju se žnjowne nałogi w Dolnej Łužycy.",Młoźina w Dolnej Łužycy woplěwa wšake žnjowne nałogi.,"1 pšawje
2 wopak",1,listening_B1_1
B1.1.H5,B1,"Telewizny sćelak ZDF jo nagrawał sceny ze žywjenja wjercha Hermanna von Pücklera, kenž jo załožył znatej parka w Rogeńcu, blisko Chóśebuza, a w Mužakowje w srjejźnej Łužycy. Filmowali su we wobyma parkoma. Stephan Grossmann, znaty grajaŕ, jo w historiskem kostimje grał wósobu Pücklera. Nagrawanja su źěl woblubowanego telewiznego wusćełanja „Terra X”.",Wjerch H. v. Pückler jo załožył město Chóśebuz.,"1 pšawje
2 wopak",2,listening_B1_1
B1.1.H16,B1,"We Wětošowje jo se załožyło nowe towaristwo z rědnym mjenim „Tyca”. Cłonki su WITAJ-wótkubłaŕki, ceptaŕki a ceptarje serbšćiny a sympatizanty WITAJ-gibanja. Wóni pódpěruju wšykne WITAJ-iniciatiwy. Towaristwo pomoga na pśikład pśi projektowych dnjach, pśi camprowanju, nazymskem swěźenju abo gódownem bazarje. Towaristwo pśepšosujo teke wósebnje starjejšych a gósći na swóje zarědowanja.",Kótare mě nosy nowe towaristwo we Wětošowje?,"1 „WITAJ” 
2 „Tyca” 
3 „Serbšćina”",2,listening_B1_3
B1.1.H17,B1,Mjazy dolnoserbskeju gmejnu Drjenow a pólskeju gmejnu Ochla wobstoj wuske pśijaśelstwo. Tak organizěruju južo dwaźasća lět pšawidłownje zmakanja we Łužycy abo w Pólskej. Pśi tom se wognjowa wobora wuběgujo abo chory z wobeju gmejnowu zgromadnje spiwaju. W lěśu se pśijaśele z Pólskeje teke raźi wobźěluju na žnjownych nałogach w Drjenowje.,Wjele lět wobstoj partnaŕstwo mjazy Drjenowom a Ochlu?,"1 20 lět 
2 25 lět 
3 12 lět",1,listening_B1_3
B1.1.H18,B1,"Młode rucnikarje raźi na wšakich městnach w tu- a wukraju pówołańske nazgónjenja zběraju. Pó tśich takich wandraŕskich lětach jo se młody kšylc zasej wrośił do swójeje domownje – do Janšojc w Dolnej Łužycy. Młody Patrik jo póbył w Nimskej, Awstriskej, Šwicarskej, Špańskej a samo w pódpołdnjowej Americe. Janšojska młoźina jo jogo wutšobnje domoj witała z toflu, na kótarejž jo sta- jało: „Witaj slědk, Paddy!”",Wótkul póchada młody kšylc?,"1 ze Šwicarskeje 
2 ze Špańskeje 
3 z Łužyce",3,listening_B1_3
B1.1.H19,B1,"Pśecej drugi stwórtk w mjasecu ma serbske radio w rbb wósebny programowy źěl za młodše pśisłuchaŕki a młodšych pśisłucharjow. To jo wusćełanje „Bubak”. W njom młodostne pśedstajaju zajmne tšojenja, nowu muziku, interesantne wósoby abo krotke literarne teksty, wótergi samo swójske. Młode redaktorki a redaktory su studentki abo studenty z Lipska abo wuknice a wukniki Dolnoserbskego gymnaziuma.",Ga pśiźo młoźinski program “Bubak” w serbskem programje rbb?,"1 kuždy stwórtk 
2 kuždy drugi stwórtk w mjasecu 
3 kuždy drugi mjasec",2,listening_B1_3
B1.1.H20,B1,"Južo někotare lěta wugótuju w Lubnjowje drastwiny a rejowaŕski swěźeń. Lětosa jo se wobźěliło dogromady wósymźaset rejowarjow. Na wětšy part su to byli wobźělniki z Łužyce. Ale teke z drugich kóńcow Nimskeje su ten raz pśijěli gósći ze swójimi kšasnymi ludowymi drastwami, na pśikład z Bayerskeje abo z Carneje góle. Pśi lubosnej muzice su se drastwine póriki ako teke pśiglědowarje wjasele wjerśili.",Wjele rejowarjow jo se na drastwinem swěźenju w Lubnjowje wobźěliło?,"1 80 rejowarjow 
2 18 pórikow 
3 800 luźi",1,listening_B1_3
