question_id,question_level,context,question,possible_answers,correct_answer_num,question_type
B1.1.H1,B1,"W Serbskim muzeju w Choćebuzu je so nowa wustajeńca wotewrěła. Tónkróć njeje to tradicionelna serbska wustajeńca, ale zajimawa prezentacija wuměłskich foto- grafijow domjacych zwěrjatow, wosebje ptačkow. Su to krasne wobrazy, kiž je něhdyši absolwent Delnjoserbskeho gymnazija a lubowar přirody zhotowił. Na wotewrjenju pjatk wječor wobdźěli so wjele ludźi.",Štwórtk wječor bě wotewrjenje wustajeńcy.,"1 prawje
2 wopak",2,listening_B1_1
B1.1.H2,B1,"Ludźo přeco hižo njesćerpnje na nowy program Šule za delnjoserbsku rěč a kulturu čakaja. Šula wudawa jón kóžde lěto w nalěću a nazymje. Někotři chcedźa so na rěčnych kursach wobdźělić, druzy na zajimawych přednoškach. Zaso druzy chcedźa rady sobu jěć na woblubowane ekskursije. A młodźina rady wuknje, kak so delnjoserbska drasta prawje woblěka.",Program Šule za delnjoserbsku rěč a kulturu wuchadźa jenož w nazymje.,"1 prawje
2 wopak",2,listening_B1_1
B1.1.H3,B1,"Ludźo we Łužicy swjeća rady swoje narodniny, ale nječinja to jenož priwatnje. Nimale kóždy dźeń wozjewi Serbski rozhłós na kóncu swojeho wusyłanja mjena narodninarkow a narodninarjow. Jubilarkam a jubilaram posrědkuja towarstwa, Domowinske skupiny abo swójbni wutrobne zbožopřeća. Wćipni čakaja dalši při- posłucharjo na mjena narodninarjow, zo bychu tež woni jim gratulować móhli. Wosebje rjenje je, hdyž ma něchtó kulojty jubilej.",Serbski rozhłós gratuluje narodninarjam.,"1 prawje
2 wopak",1,listening_B1_1
B1.1.H4,B1,"W lěćnych tydźenjach w Delnjej Łužicy kokota łapaja. Na Górach a w Smogorjowje přewjedźe młodźina nałožk zabiwanja kokota, a w Nowej Niwje pěstuja nałožk jě- chanja wo wosušk. Holcy woblěkaja sej k tomu swoju rjanu delnjoserbsku swjedźen- sku drastu. Na někotrych wsach młodźina swojich hosći w delnjoserbskej rěči powi- ta. Rady sej ludźo zbliska a zdaloka žnjenske nałožki w Delnjej Łužicy wobhladaja.",Młodźina w Delnjej Łužicy pěstuje wšelake žnjenske nałožki.,"1 prawje
2 wopak",1,listening_B1_1
B1.1.H5,B1,"Telewizijny sćelak ZDF je nahrawał sceny ze žiwjenja wjercha Hermanna von Pücklera, kiž je załožił znatej parkaj w Rogeńcu blisko Choćebuza a w Muža- kowje, w srjedźnej Łužicy. Filmowali su we woběmaj parkomaj. Stephan Gross- mann, znaty dźiwadźelnik, je w historiskim kostimje hrał wosobu Pücklera. Nahrawanja su dźěl woblubowaneho telewizijneho wusyłanja „Terra X” .",Wjerch Pückler je załožił město Choćebuz.,"1 prawje
2 wopak",2,listening_B1_1
B1.1.H16,B1,"Nowe towarstwo w Słodecach 
W Słodecach je so załožiło nowe towarstwo z rjanym mjenom „Tučel”. Čłonojo su Witaj-kubłarki, wučerki a wučerjo serbšćiny a sympatizanća Witaj-hibanja. Woni podpěruja wšitke Witaj-iniciatiwy. Tak pomhaja na přikład na projek- towych dnjach, ptačim kwasu, nazymskim swjedźenju abo hodownym bazarje. Towarstwo přeprošuje wosebje tež staršich a hosći na swoje zarjadowanja.",Kotre mjeno nosy nowe towarstwo w Słodecach?,"1 „WITAJ” 
2 „Tučel”
3 „Serbšćina”",2,listening_B1_3
B1.1.H17,B1,"Wjelelětne partnerstwo 
Mjez delnjoserbskej gmejnu Drjenow a pólskej gmejnu Ochla wobsteji wuske přećelstwo. Tak organizuja hižo dwaceći lět prawidłowne zetkanja we Łužicy abo w Pólskej. Při tym so wohnjowi wobornicy wubědźuja abo chóry z wobeju gmejnow zhromadnje spěwaja. W lěću so přećeljo z Pólskeje tež rady na žnjen- skich nałožkach w Drjenowje wobdźěla.",Kelko lět wobsteji partnerstwo mjez Drjenowom a Ochlu?,"1 20 lět
2 25 lět 
3 12 lět",1,listening_B1_3
B1.1.H18,B1,"Serbske powitanje 
Młodźi rjemjeslnicy rady na wšelakich městnach w tu- a wukraju powołanske nazhonjenja hromadźa. Po třoch tajkich wandrowskich lětach je so młody třě- chikryjer zaso do swojeje domizny nawróćił – do Jenkec w Hornjej Łužicy. Mło- dy Patrik poby w Němskej, Awstriskej, Šwicarskej, Španiskej a samo w južnej Americe. Jenkečanska młodźina je jeho wutrobnje domoj witała z taflu, na ko- trejž bě napisane: „Witaj domoj, Paddyjo!”",Zwotkel pochadźa młody třěchikryjer?,"1 Šwicarskeje 
2 Spaniskeje 
3 z Łužicy",3,listening_B1_3
B1.1.H19,B1,"Program za młodostnych 
Kóždu póndźelu wječor we wosmich ma Serbski rozhłós sćelaka MDR wosebity programowy dźěl za młódše připosłucharki a młódšich připosłucharjow. To je wusyłanje RADIJO SATKULA. W nim předstajeja młodostne a młodostni zajima- we stawizny, nowu hudźbu, wosoby abo krótke literarne teksty, druhdy samo swójske. W młodźinskej redakciji su studentki a studenća, ale tež šulerki a šulerjo Serbskeho gymnazija.",Hdy wusyła so młodźinski program RADIJO SATKULA?,"1 póndźelu we 8.00 hodź. 
2 póndźelu w 20.00 hodź. 
3 póndźelu we 18.00 hodź",2,listening_B1_3
B1.1.H20,B1,"Wjele rjanych drastow 
Hižo někotre lěta wuhotuja w Ćisku drastowy a rejowanski swjedźeń. Lětsa wob- dźěli so na nim wosomdźesat žonow a mužow, najwjace z Łužicy. Ale tež z dru- hich kónčin Němskeje su tón raz hosćo ze swojimi krasnymi narodnymi drastami přijěli, na přikład z Bayerskeje abo z Čorneho lěsa. Při rjanej hudźbje wjerćachu so wjesele drastowe poriki kaž tež přihladowarjo.",Kelko ludźi wobdźěli so na drastowym swjedźenju?,"1 80 rejowarjow
2 18 porikow
3 800 ludźi",1,listening_B1_3
